52;APARTAMENTO 1 QUARTO                              ;                                                  ;R.                                 ;                                                  ;                    ;                         ;89251000;  ;1;1;3;0;0;0;25000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
53;CASA DE ALVENARIA COM 2 QUARTOS,SALA,COZINHA,BWC, ;LAVANDERIA,GARAGEM.                               ;RUA PADRE HORACIO S/Nº             ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89252450;SC;2;1;133;0;0;16;28000;0;0;1200;866;791; ;                                                  ;                                                  ;U;8175;
54;CASA ALVENARIA C/4 QTOS,SALA STAR,SALA TV,COPA,CO-;ZINHA,2 BWC,LAV.DISPENSA,GARAGEM E 1 RANCHO MAD.  ;RUA LOURENCO KANZLER,616           ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89251000;SC;2;1;152;0;0;0;60000;0;0;1200;195;22; ;                                                  ;                                                  ;U;8175;
55;APARTAMENTO COM 3 QTOS,SALA,COPA/COZINHA,2 BWC,LAV;ANDERIA,2 DISPENSA,SACADA,01 GARAGEM.             ;R.JOSE T.RIBEIRO,1.014 APTO 04 BL.I;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;2;231;0;0;19;62100;0;0;1000;3332;4844; ;                                                  ;                                                  ;U;8175;0
56;TERRENO COM 4.000M2                               ;                                                  ;RUA JORGE CZERNIEWIZ               ;                                                  ;                    ;                         ;89251000;  ;7;5;820;1;0;0;35000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
57;CASA DE MADEIRA                                   ;                                                  ;RUA JOAO DOBRAWA,40                ;                                                  ;CZERNIEWICZ         ;JARAGUA DO SUL           ;89251000;SC;7;1;121;0;0;15;17800;0;0;1200;215;30; ;                                                  ;                                                  ;U;8175;
58;CASA MADEIRA C/2 QTOS,SALA,COZ.BWC,LAVANDERIA,E UM;RANCHO DE MADEIRA.                                ;RUA JOAO DOBRAWA,60                ;                                                  ;CZERNIEWSC          ;JARAGUA DO SUL           ;89251000;SC;7;1;820;0;0;17;18000;0;0;1200;171;11; ;                                                  ;                                                  ;U;8175;
59;CASA MADEIRA                                      ;                                                  ;RUA JOAO DOBRAWA,82                ;                                                  ;CZERNIEWCZ          ;JARAGUA DO SUL           ;89251000;SC;7;1;820;0;0;15;25000;0;0;1200;161;391; ;                                                  ;                                                  ;U;8175;
60;CASA MADEIRA-2 QTOS,SALA,COPA,COZ.BWC,LAVANDERIA. ;                                                  ;RUA JOAO DOBRAWA,100               ;                                                  ;CZERNIEWCZ          ;JARAGUA DO SUL           ;89251000;SC;7;1;820;0;0;20;21100;0;0;1200;924;411; ;                                                  ;                                                  ;U;8175;
61;TELEFONE Nº 371-0057                              ;                                                  ;R.ONELIA HORST FTE Nº 266          ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89251000;SC;2;3;128;0;0;24;3500;0;0;1200;581;219; ;                                                  ;                                                  ;U;8175;
62;SALA COMERCIAL                                    ;                                                  ;RUA XV DE NOVEMBRO,584             ;                                                  ;                    ;CORUPA                   ;89278000;SC;17;4;154;1;0;0;80000;0;0;1200;174;135; ;                                                  ;                                                  ;U;8087;
